,NOM_COMUNA,AREA_KM2,SUPERFICIE AREAS VERDES,prekinder niños,prekinder niñas,prekinder total,kinder niños,kinder niñas,kinder total,1 basico niños,1 basico niñas,1 basico total,5 basico niños,5 basico niñas,5 basico total,1 medio niños,1 medio niñas,1 medio total,TOTAL TRANSFERIDO 2018,Ratio areas verdes
25,SANTIAGO,23.135236148078583,1853980.2526256912,0.2143569292123629,0.16932907348242812,0.19258496395468588,0.22567783094098884,0.1911544227886057,0.20788253477588872,0.23060498220640568,0.19131529263687855,0.20975283901135605,0.27961736571008095,0.15813953488372093,0.21578212290502793,0.12420566146735991,0.12071580224446467,0.12250332889480692,19.275.937,80136.64700715264
26,ESTACIÓN CENTRAL,14.353260616862,488397.35420091485,0.2553542009884679,0.2146690518783542,0.2358490566037736,0.21763085399449036,0.21779141104294478,0.21770682148040638,0.2513812154696133,0.20273972602739726,0.22696011004126548,0.29178470254957506,0.2215568862275449,0.2576419213973799,0.1132404181184669,0.11744386873920552,0.11535125758889853,18.529.921,34026.92720754703
27,LO PRADO,6.560048486278605,366613.73692260904,0.2346368715083799,0.22849462365591397,0.23150684931506849,0.2360097323600973,0.19683257918552036,0.21570926143024619,0.23443983402489627,0.21902654867256638,0.22698072805139186,0.28688524590163933,0.16289592760180996,0.22795698924731184,0.1746987951807229,0.2542372881355932,0.21574344023323616,16.979.018,55885.8273211609
28,PEDRO AGUIRRE CERDA,8.755927578770207,537816.366195735,0.1989051094890511,0.1766990291262136,0.18814675446848542,0.29121725731895226,0.2020033388981636,0.2483974358974359,0.2012779552715655,0.2171875,0.2093206951026856,0.35075885328836426,0.218018018018018,0.2865853658536585,0.1867704280155642,0.18552036199095023,0.18619246861924685,,61423.11723771393
29,SAN MIGUEL,9.613154132838472,202123.966397608,0.2210242587601078,0.24128686327077747,0.23118279569892472,0.2125506072874494,0.22544642857142858,0.21868365180467092,0.2323076923076923,0.172859450726979,0.2033096926713948,0.28363636363636363,0.16785714285714284,0.22522522522522523,0.12933333333333333,0.12961443806398687,0.12950736414423566,12.911.742,21025.769857070514
30,PROVIDENCIA,14.394146416884151,2105905.6251175962,0.13392857142857142,0.10833333333333334,0.1206896551724138,0.1716171617161716,0.13333333333333333,0.1566265060240964,0.19733333333333333,0.12982456140350876,0.16818181818181818,0.2111801242236025,0.08695652173913043,0.15384615384615385,0.08433734939759036,0.07369402985074627,0.07707006369426751,12.319.551,146302.9181534096
31,BUIN,217.49774280945098,649241.6363021766,0.2152917505030181,0.1906779661016949,0.20330237358101136,0.24893617021276596,0.1859582542694497,0.2156469408224674,0.29320388349514565,0.2594059405940594,0.27647058823529413,0.427734375,0.2583518930957684,0.3485952133194589,0.15976331360946747,0.12922465208747516,0.14455445544554454,16.353.532,2985.049995994556
32,EL MONTE,114.87223756450831,209986.71486796698,0.22666666666666666,0.2018348623853211,0.2144469525959368,0.24786324786324787,0.15348837209302327,0.2026726057906459,0.31016042780748665,0.24875621890547264,0.27835051546391754,0.375609756097561,0.27860696517412936,0.3275862068965517,0.12162162162162163,0.16129032258064516,0.1437125748502994,14.044.058,1828.0023034290216
33,TALAGANTE,126.59617520293752,429752.5554552669,0.2803234501347709,0.17094017094017094,0.22714681440443213,0.27790432801822323,0.2034313725490196,0.24203069657615112,0.26859504132231404,0.2032854209445585,0.23583934088568487,0.30242825607064017,0.22298850574712645,0.2635135135135135,0.19008264462809918,0.13531799729364005,0.16245733788395905,14.093.776,3394.6725070197463
34,ISLA DE MAIPO,189.33640794833383,146004.84098538707,0.22119815668202766,0.1926605504587156,0.20689655172413793,0.2601626016260163,0.2318181818181818,0.24678111587982832,0.30714285714285716,0.2579185520361991,0.28542914171656686,0.3333333333333333,0.27230046948356806,0.3048245614035088,0.15,0.1411042944785276,0.14600550964187328,16.198.345,771.1398064825911
35,PEÑAFLOR,69.3297325976022,392898.126745953,0.2128146453089245,0.1867881548974943,0.1997716894977169,0.2723735408560311,0.22932330827067668,0.25047801147227533,0.26223776223776224,0.20917431192660552,0.23634735899731424,0.3285968028419183,0.18307426597582038,0.2548161120840631,0.15873015873015872,0.11032863849765258,0.13308457711442787,17.255.209,5667.0942180951315
36,PIRQUE,445.2531347480952,25079.185695984,0.23008849557522124,0.2621359223300971,0.24537037037037038,0.23404255319148937,0.20212765957446807,0.21808510638297873,0.2753623188405797,0.18181818181818182,0.22962962962962963,0.288135593220339,0.25396825396825395,0.27049180327868855,0.15702479338842976,0.13924050632911392,0.15,14.456.857,56.32568024517718
37,PAINE,677.6637283822165,224804.494461717,0.228287841191067,0.19946091644204852,0.2144702842377261,0.2702702702702703,0.2076271186440678,0.23799126637554585,0.2119089316987741,0.22654867256637168,0.21919014084507044,0.3904382470119522,0.2523191094619666,0.31892411143131605,0.15056179775280898,0.1286031042128603,0.13950892857142858,17.850.592,331.7345831661844
38,SAN JOSÉ DE MAIPO,4982.5879892574085,40493.650705652995,0.23529411764705882,0.12048192771084337,0.17218543046357615,0.27058823529411763,0.140625,0.21476510067114093,0.35802469135802467,0.18888888888888888,0.26900584795321636,0.3125,0.17525773195876287,0.24352331606217617,0.1523809523809524,0.14772727272727273,0.15025906735751296,,8.127031733901815
39,PEÑALOLÉN,53.60748622449031,1082620.660276746,0.2691292875989446,0.19258202567760344,0.23235092529129542,0.2687224669603524,0.24023668639053256,0.2549914432401597,0.27740492170022374,0.17914110429447852,0.23054417788180223,0.3482142857142857,0.22941970310391363,0.2904918032786885,0.15384615384615385,0.12183544303797468,0.13739837398373983,,20195.325998743738
40,PUENTE ALTO,88.23865615054845,2441798.353482756,0.22303921568627452,0.1780650542118432,0.20078415187783738,0.26139173436948077,0.19144385026737967,0.2265791341376863,0.2564599483204134,0.2109053497942387,0.23436460412508317,0.31352253756260434,0.1700348432055749,0.243307757885763,0.13223706748886604,0.09498680738786279,0.11325827592001345,24.757.312,27672.660260336237
41,CALERA DE TANGO,73.14889139572131,39659.35380892299,0.19480519480519481,0.14666666666666667,0.17105263157894737,0.2803738317757009,0.25984251968503935,0.2692307692307692,0.33884297520661155,0.26495726495726496,0.3025210084033613,0.3185840707964602,0.28,0.3004694835680751,0.1016949152542373,0.13114754098360656,0.11666666666666667,12.962.062,542.172998827468
42,SAN BERNARDO,152.87543212382297,1091831.4672673966,0.2799227799227799,0.2345343303874915,0.2578512396694215,0.2892416225749559,0.21370023419203746,0.25139337048987975,0.25381571509327305,0.19396051103368175,0.22429103408765397,0.3088942307692308,0.19098457888493475,0.24955223880597016,0.14817629179331307,0.1307471264367816,0.13921713441654357,19.506.501,7141.968150795197
43,COLINA,970.6977693069693,937212.7892844018,0.2713498622589532,0.24517906336088155,0.25826446280991733,0.2512437810945274,0.23663101604278075,0.24420103092783504,0.2490842490842491,0.195416164053076,0.2220873786407767,0.31565329883570503,0.22106824925816024,0.27159640635798205,0.12154696132596685,0.11005434782608696,0.11575342465753424,19.650.047,965.5042165735333
44,MELIPILLA,1352.1548401946186,325652.55098239274,0.2556732223903177,0.19561815336463223,0.22615384615384615,0.27348066298342544,0.21487603305785125,0.24413793103448275,0.2556053811659193,0.19235668789808918,0.22599880739415623,0.34199726402188785,0.272,0.3065496286293045,0.17647058823529413,0.1519903498190591,0.16387337057728119,16.997.434,240.83968884474862
45,MARÍA PINTO,394.5983420894032,,0.20754716981132076,0.1935483870967742,0.2,0.35,0.18867924528301888,0.2857142857142857,0.26666666666666666,0.3194444444444444,0.29545454545454547,0.4473684210526316,0.4,0.4264705882352941,0.203125,0.24561403508771928,0.2231404958677686,14.726.608,
46,CURACAVÍ,694.0656418055013,,0.20212765957446807,0.16666666666666666,0.18421052631578946,0.17560975609756097,0.12682926829268293,0.15121951219512195,0.3333333333333333,0.2100456621004566,0.2725225225225225,0.25821596244131456,0.2523809523809524,0.2553191489361702,0.20657276995305165,0.16292134831460675,0.1867007672634271,,
47,PADRE HURTADO,81.06806528919788,331680.20315638295,0.28061224489795916,0.22285714285714286,0.25336927223719674,0.34595959595959597,0.26376146788990823,0.30288461538461536,0.2748414376321353,0.2569444444444444,0.2662983425414365,0.30357142857142855,0.20316622691292877,0.25421530479896237,0.19767441860465115,0.18128654970760233,0.18950437317784258,16.748.737,4091.379286938263
48,SAN PEDRO,787.9721987200456,,0.2727272727272727,0.24324324324324326,0.2571428571428571,0.2777777777777778,0.16981132075471697,0.22429906542056074,0.2236842105263158,0.2786885245901639,0.24817518248175183,0.40298507462686567,0.1896551724137931,0.304,0.047619047619047616,0.10526315789473684,0.075,17.901.022,
49,ALHUÉ,844.644007151959,,0.3448275862068966,0.15384615384615385,0.23529411764705882,0.30612244897959184,0.20833333333333334,0.25773195876288657,0.3333333333333333,0.32727272727272727,0.32978723404255317,0.38461538461538464,0.3181818181818182,0.3493975903614458,0.22580645161290322,0.2916666666666667,0.2545454545454545,,
50,LAMPA,450.14555785411756,537652.2182275408,0.22452504317789293,0.2176360225140713,0.22122302158273383,0.21829855537720708,0.210896309314587,0.21476510067114093,0.21888412017167383,0.14136904761904762,0.18088986141502553,0.3304498269896194,0.24028268551236748,0.28583916083916083,0.1565934065934066,0.1643835616438356,0.16049382716049382,16.138.458,1194.3963654569313
51,TILTIL,654.2275638483273,128952.63446440702,0.3614457831325301,0.31645569620253167,0.3395061728395062,0.33980582524271846,0.2828282828282828,0.3118811881188119,0.26595744680851063,0.23655913978494625,0.25133689839572193,0.33093525179856115,0.2358490566037736,0.2897959183673469,0.11538461538461539,0.17073170731707318,0.14375,14.471.382,197.10669740950064
